timestamp,trial,ball_x,cup_x,zone,success,difficulty,game_type
1753392030.1463854,1,684,680,top,1,3,vertical_fixed
1753392032.052959,2,684,680,top,1,3,vertical_fixed
1753392033.954108,3,684,680,top,1,3,vertical_fixed
1753392035.828659,4,684,680,bottom,1,3,vertical_fixed
1753392038.002407,5,780,680,bottom,1,3,vertical_fixed
1753392039.907251,6,684,680,top,1,3,vertical_fixed
1753392041.7938366,7,684,680,middle,1,3,vertical_fixed
1753392043.698339,8,684,680,middle,1,3,vertical_fixed
1753392045.6028824,9,684,680,top,1,3,vertical_fixed
1753392047.507471,10,684,680,top,1,3,vertical_fixed
