session_id,file_name,relative_path,tester_id,mode,level,attempt_number,game_version,include_in_analysis,notes
session_diagonal_fixed_1758157329,session_diagonal_fixed_1758157329.csv,data\raw\diagonal\session_diagonal_fixed_1758157329.csv,T1,diagonal,1,1,fixed,yes,
session_diagonal_fixed_1758157450,session_diagonal_fixed_1758157450.csv,data\raw\diagonal\session_diagonal_fixed_1758157450.csv,T1,diagonal,1,2,fixed,yes,
session_diagonal_fixed_1758157564,session_diagonal_fixed_1758157564.csv,data\raw\diagonal\session_diagonal_fixed_1758157564.csv,T1,diagonal,2,1,fixed,yes,
session_diagonal_fixed_1758157678,session_diagonal_fixed_1758157678.csv,data\raw\diagonal\session_diagonal_fixed_1758157678.csv,T1,diagonal,2,2,fixed,yes,
session_diagonal_fixed_1758157871,session_diagonal_fixed_1758157871.csv,data\raw\diagonal\session_diagonal_fixed_1758157871.csv,T1,diagonal,3,1,fixed,yes,
session_diagonal_fixed_1758157971,session_diagonal_fixed_1758157971.csv,data\raw\diagonal\session_diagonal_fixed_1758157971.csv,T1,diagonal,3,2,fixed,yes,
session_diagonal_fixed_1758239183,session_diagonal_fixed_1758239183.csv,data\raw\diagonal\session_diagonal_fixed_1758239183.csv,T1,diagonal,4,1,fixed,yes,
session_diagonal_fixed_1758239290,session_diagonal_fixed_1758239290.csv,data\raw\diagonal\session_diagonal_fixed_1758239290.csv,T1,diagonal,4,2,fixed,yes,
session_diagonal_fixed_1758239611,session_diagonal_fixed_1758239611.csv,data\raw\diagonal\session_diagonal_fixed_1758239611.csv,T1,diagonal,5,1,fixed,yes,
session_diagonal_fixed_1758240402,session_diagonal_fixed_1758240402.csv,data\raw\diagonal\session_diagonal_fixed_1758240402.csv,T1,diagonal,5,2,fixed,yes,
session_diagonal_fixed_1758594134,session_diagonal_fixed_1758594134.csv,data\raw\diagonal\session_diagonal_fixed_1758594134.csv,T2,diagonal,1,1,fixed,yes,
session_diagonal_fixed_1758594241,session_diagonal_fixed_1758594241.csv,data\raw\diagonal\session_diagonal_fixed_1758594241.csv,T2,diagonal,1,2,fixed,yes,
session_diagonal_fixed_1758594352,session_diagonal_fixed_1758594352.csv,data\raw\diagonal\session_diagonal_fixed_1758594352.csv,T2,diagonal,2,1,fixed,yes,
session_diagonal_fixed_1758594475,session_diagonal_fixed_1758594475.csv,data\raw\diagonal\session_diagonal_fixed_1758594475.csv,T2,diagonal,2,2,fixed,yes,
session_diagonal_fixed_1758594571,session_diagonal_fixed_1758594571.csv,data\raw\diagonal\session_diagonal_fixed_1758594571.csv,T2,diagonal,3,1,fixed,yes,
session_diagonal_fixed_1758595473,session_diagonal_fixed_1758595473.csv,data\raw\diagonal\session_diagonal_fixed_1758595473.csv,T2,diagonal,3,2,fixed,yes,
session_diagonal_fixed_1758595546,session_diagonal_fixed_1758595546.csv,data\raw\diagonal\session_diagonal_fixed_1758595546.csv,T2,diagonal,4,1,fixed,yes,
session_diagonal_fixed_1758595633,session_diagonal_fixed_1758595633.csv,data\raw\diagonal\session_diagonal_fixed_1758595633.csv,T2,diagonal,4,2,fixed,yes,
session_diagonal_fixed_1758596221,session_diagonal_fixed_1758596221.csv,data\raw\diagonal\session_diagonal_fixed_1758596221.csv,T2,diagonal,5,1,fixed,yes,
session_diagonal_fixed_1758596299,session_diagonal_fixed_1758596299.csv,data\raw\diagonal\session_diagonal_fixed_1758596299.csv,T2,diagonal,5,2,fixed,yes,
session_horizontal_fixed_1757887693,session_horizontal_fixed_1757887693.csv,data\raw\horizontal\session_horizontal_fixed_1757887693.csv,T1,horizontal,1,1,fixed,yes,
session_horizontal_fixed_1757957526,session_horizontal_fixed_1757957526.csv,data\raw\horizontal\session_horizontal_fixed_1757957526.csv,T1,horizontal,1,2,fixed,yes,
session_horizontal_fixed_1757982851,session_horizontal_fixed_1757982851.csv,data\raw\horizontal\session_horizontal_fixed_1757982851.csv,T1,horizontal,2,1,fixed,yes,
session_horizontal_fixed_1758124898,session_horizontal_fixed_1758124898.csv,data\raw\horizontal\session_horizontal_fixed_1758124898.csv,T1,horizontal,2,2,fixed,yes,
