tester_id,mode,level,attempt_number,total_trials,successful_trials,failed_trials,success_rate_percent,failure_rate_percent,caught_trials,catch_rate_percent,dump_success_trials,dump_success_rate_percent,avg_accuracy_percent_for_analysis,avg_raw_accuracy_percent,missing_accuracy_trials,avg_endpoint_error,avg_trail_point_count
T1,diagonal,1,1,10,9,1,90.0,10.0,10,100.0,9,90.0,82.36,82.36,0,48.6,65.6
T1,diagonal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,82.72,82.72,0,44.9,69.9
T1,diagonal,2,1,10,8,2,80.0,20.0,10,100.0,8,80.0,78.86,78.86,0,43.7,63.8
T1,diagonal,2,2,10,10,0,100.0,0.0,10,100.0,10,100.0,82.89,82.89,0,48.0,66.3
T1,diagonal,3,1,10,9,1,90.0,10.0,9,90.0,9,90.0,75.65,84.06,1,44.9,102.2
T1,diagonal,3,2,10,8,2,80.0,20.0,8,80.0,8,80.0,66.67,83.34,2,92.8,90.5
T1,diagonal,4,1,10,7,3,70.0,30.0,7,70.0,7,70.0,56.11,80.16,3,87.6,91.1
T1,diagonal,4,2,10,6,4,60.0,40.0,7,70.0,6,60.0,55.2,78.86,3,81.0,100.2
T1,diagonal,5,1,10,7,3,70.0,30.0,8,80.0,7,70.0,57.53,71.91,2,66.8,127.7
T1,diagonal,5,2,10,7,3,70.0,30.0,8,80.0,7,70.0,61.67,77.09,2,67.7,136.2
T1,horizontal,1,1,10,10,0,100.0,0.0,10,100.0,10,100.0,86.51,86.51,0,54.7,88.3
T1,horizontal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,84.26,84.26,0,52.6,68.3
T1,horizontal,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,81.82,81.82,0,66.6,79.9
T1,horizontal,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,76.25,84.72,1,57.7,64.4
T1,horizontal,3,1,10,8,2,80.0,20.0,9,90.0,8,80.0,72.26,80.29,1,81.3,118.6
T1,horizontal,3,2,10,8,2,80.0,20.0,8,80.0,8,80.0,65.89,82.36,2,72.9,117.3
T1,horizontal,4,1,10,7,3,70.0,30.0,7,70.0,7,70.0,57.13,81.61,3,94.4,116.1
T1,horizontal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,62.7,78.38,2,63.3,117.7
T1,horizontal,5,1,10,5,5,50.0,50.0,6,60.0,5,50.0,47.12,78.53,4,109.8,111.9
T1,horizontal,5,2,10,7,3,70.0,30.0,8,80.0,7,70.0,63.87,79.84,2,63.2,134.2
T1,vertical,1,1,10,9,1,90.0,10.0,9,90.0,9,90.0,74.81,83.12,1,30.4,66.2
T1,vertical,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,84.97,84.97,0,20.0,76.3
T1,vertical,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,80.49,80.49,0,16.0,77.9
T1,vertical,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,76.18,84.64,1,27.2,62.2
T1,vertical,3,1,10,8,2,80.0,20.0,9,90.0,8,80.0,64.32,71.47,1,36.8,114.7
T1,vertical,3,2,10,10,0,100.0,0.0,10,100.0,10,100.0,82.29,82.29,0,20.0,117.1
T1,vertical,4,1,10,7,3,70.0,30.0,8,80.0,7,70.0,63.03,78.79,2,33.6,123.5
T1,vertical,4,2,10,8,2,80.0,20.0,8,80.0,8,80.0,61.23,76.54,2,33.6,119.1
T1,vertical,5,1,10,6,4,60.0,40.0,8,80.0,6,60.0,52.05,65.06,2,50.0,148.9
T1,vertical,5,2,10,8,2,80.0,20.0,8,80.0,8,80.0,62.8,78.5,2,44.0,140.9
T2,diagonal,1,1,10,10,0,100.0,0.0,10,100.0,10,100.0,82.42,82.42,0,60.3,51.1
T2,diagonal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,81.52,81.52,0,38.0,46.4
T2,diagonal,2,1,10,8,2,80.0,20.0,10,100.0,8,80.0,80.31,80.31,0,48.8,52.6
T2,diagonal,2,2,10,9,1,90.0,10.0,10,100.0,9,90.0,79.51,79.51,0,46.9,57.8
T2,diagonal,3,1,10,8,2,80.0,20.0,8,80.0,8,80.0,63.72,79.65,2,84.1,72.0
T2,diagonal,3,2,10,8,2,80.0,20.0,10,100.0,8,80.0,70.8,70.8,0,44.8,85.2
T2,diagonal,4,1,10,4,6,40.0,60.0,6,60.0,4,40.0,46.31,77.18,4,65.0,59.5
T2,diagonal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,60.02,75.03,2,51.6,74.1
T2,diagonal,5,1,10,6,4,60.0,40.0,7,70.0,6,60.0,52.95,75.64,3,57.0,88.5
T2,diagonal,5,2,10,6,4,60.0,40.0,6,60.0,6,60.0,45.84,76.4,4,105.4,69.9
T2,horizontal,1,1,10,9,1,90.0,10.0,9,90.0,9,90.0,75.69,84.1,1,65.0,47.0
T2,horizontal,1,2,10,10,0,100.0,0.0,10,100.0,10,100.0,83.24,83.24,0,57.8,47.9
T2,horizontal,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,79.28,79.28,0,58.8,49.3
T2,horizontal,2,2,10,10,0,100.0,0.0,10,100.0,10,100.0,79.43,79.43,0,44.2,53.5
T2,horizontal,3,1,10,7,3,70.0,30.0,8,80.0,7,70.0,62.08,77.6,2,37.0,66.2
T2,horizontal,3,2,10,9,1,90.0,10.0,10,100.0,9,90.0,72.85,72.85,0,32.8,102.3
T2,horizontal,4,1,10,8,2,80.0,20.0,9,90.0,8,80.0,64.58,71.76,1,61.2,104.6
T2,horizontal,4,2,10,7,3,70.0,30.0,8,80.0,7,70.0,56.1,70.12,2,90.8,83.9
T2,horizontal,5,1,10,6,4,60.0,40.0,7,70.0,6,60.0,47.14,67.34,3,84.4,85.8
T2,horizontal,5,2,10,7,3,70.0,30.0,7,70.0,7,70.0,56.48,80.69,3,125.3,94.0
T2,vertical,1,1,10,7,3,70.0,30.0,9,90.0,7,70.0,62.03,68.92,1,30.4,39.9
T2,vertical,1,2,10,9,1,90.0,10.0,10,100.0,9,90.0,80.96,80.96,0,20.0,54.8
T2,vertical,2,1,10,9,1,90.0,10.0,10,100.0,9,90.0,77.7,77.7,0,16.0,56.5
T2,vertical,2,2,10,9,1,90.0,10.0,9,90.0,9,90.0,73.44,81.6,1,27.2,54.8
T2,vertical,3,1,10,9,1,90.0,10.0,9,90.0,9,90.0,73.7,81.89,1,30.4,100.3
T2,vertical,3,2,10,9,1,90.0,10.0,9,90.0,9,90.0,70.41,78.23,1,36.0,77.3
T2,vertical,4,1,10,8,2,80.0,20.0,9,90.0,8,80.0,71.28,79.2,1,20.8,101.6
T2,vertical,4,2,10,9,1,90.0,10.0,9,90.0,9,90.0,71.28,79.2,1,20.8,95.7
T2,vertical,5,1,10,6,4,60.0,40.0,9,90.0,6,60.0,51.58,57.31,1,30.0,110.6
T2,vertical,5,2,10,6,4,60.0,40.0,6,60.0,6,60.0,46.28,77.13,4,72.0,76.4
