mode,level,total_trials,successful_trials,failed_trials,success_rate_percent,failure_rate_percent,caught_trials,catch_rate_percent,dump_success_trials,dump_success_rate_percent,avg_accuracy_percent_for_analysis,avg_raw_accuracy_percent,missing_accuracy_trials,avg_endpoint_error,avg_trail_point_count
diagonal,1,40,39,1,97.5,2.5,40,100.0,39,97.5,82.25,82.25,0,47.95,58.25
diagonal,2,40,35,5,87.5,12.5,40,100.0,35,87.5,80.39,80.39,0,46.85,60.12
diagonal,3,40,33,7,82.5,17.5,35,87.5,33,82.5,69.21,79.1,5,66.65,87.47
diagonal,4,40,24,16,60.0,40.0,28,70.0,24,60.0,54.41,77.73,12,71.3,81.22
diagonal,5,40,26,14,65.0,35.0,29,72.5,26,65.0,54.5,75.17,11,74.22,105.58
horizontal,1,40,39,1,97.5,2.5,39,97.5,39,97.5,82.42,84.54,1,57.52,62.88
horizontal,2,40,37,3,92.5,7.5,39,97.5,37,92.5,79.2,81.23,1,56.83,61.77
horizontal,3,40,32,8,80.0,20.0,35,87.5,32,80.0,68.27,78.02,5,56.0,101.1
horizontal,4,40,29,11,72.5,27.5,32,80.0,29,72.5,60.13,75.16,8,77.42,105.58
horizontal,5,40,25,15,62.5,37.5,28,70.0,25,62.5,53.65,76.65,12,95.67,106.47
vertical,1,40,35,5,87.5,12.5,38,95.0,35,87.5,75.69,79.68,2,25.2,59.3
vertical,2,40,36,4,90.0,10.0,38,95.0,36,90.0,76.95,81.0,2,21.6,62.85
vertical,3,40,36,4,90.0,10.0,37,92.5,36,90.0,72.68,78.57,3,30.8,102.35
vertical,4,40,32,8,80.0,20.0,34,85.0,32,80.0,66.7,78.48,6,27.2,109.97
vertical,5,40,26,14,65.0,35.0,31,77.5,26,65.0,53.18,68.62,9,49.0,119.2
